feature,mean_abs_shap
emp_title__target_encoded,0.9109164006420368
term= 36 months,0.19748484650283088
max_bal_bc__scaled,0.15716423004281427
loan_amnt__scaled,0.07567147021307402
all_util__scaled,0.05783344025143246
zip_code__target_encoded,0.05777279845006119
earliest_cr_line__target_encoded,0.04904877928776147
dti__scaled,0.047318864850416004
revol_util__scaled,0.046637321801429814
mort_acc__scaled,0.0422248127424696
bc_open_to_buy__scaled,0.04037635776478574
delinq_amnt__scaled,0.040361901160176517
total_bal_il__scaled,0.03486619771047933
pct_tl_nvr_dlq__scaled,0.03472001196555794
acc_open_past_24mths__scaled,0.029746929313969342
tot_cur_bal__scaled,0.028992717386613315
home_ownership=MORTGAGE,0.02765085126519755
mths_since_recent_inq__scaled,0.026968710920955517
num_actv_rev_tl__scaled,0.026284048877309212
inq_last_6mths__scaled,0.023145127497723385
mths_since_recent_bc__scaled,0.02276196645853998
annual_inc__scaled,0.022143696588831405
verification_status=Not Verified,0.020655653943371995
total_bal_ex_mort__scaled,0.01926428733013888
total_acc__scaled,0.018565143729310056
num_tl_op_past_12m__scaled,0.015878678969045285
mo_sin_old_rev_tl_op__scaled,0.01525852586313963
mo_sin_old_il_acct__scaled,0.0152400012789213
mths_since_last_delinq__scaled,0.014825593982307905
revol_bal__scaled,0.014095873430609964
mo_sin_rcnt_tl__scaled,0.013465079579105584
total_rev_hi_lim__scaled,0.013174004171619905
mths_since_last_record__scaled,0.012860996012065508
il_util__scaled,0.012152561659772312
mths_since_recent_bc_dlq__scaled,0.010779013848155477
open_rv_24m__scaled,0.010285045952936077
mths_since_last_major_derog__scaled,0.00905803177067079
num_bc_tl__scaled,0.00902398874259383
num_actv_bc_tl__scaled,0.008561729633217236
num_il_tl__scaled,0.007814949793615423
mths_since_rcnt_il__scaled,0.007439127680204379
inq_last_12m__scaled,0.007094388490324399
open_act_il__scaled,0.006964387450680789
open_acc__scaled,0.006493285284123836
open_il_24m__scaled,0.0059366361967830685
total_cu_tl__scaled,0.0058755568855763446
tot_coll_amt__scaled,0.005248473555615967
inq_fi__scaled,0.004941630148076854
mths_since_recent_revol_delinq__scaled,0.0049081385017852456
mo_sin_rcnt_rev_tl_op__scaled,0.004683386060100698
num_accts_ever_120_pd__scaled,0.004542929105635851
open_acc_6m__scaled,0.004433324599897261
home_ownership=OWN,0.004126671204414604
open_il_12m__scaled,0.003434401502251749
pub_rec__scaled,0.003103657778627698
tax_liens__scaled,0.0026895614563687146
delinq_2yrs__scaled,0.002361958969585679
verification_status=Verified,0.002227420788839899
open_rv_12m__scaled,0.001386668825990555
dti_joint__scaled,0.0010975721637401924
pub_rec_bankruptcies__scaled,0.0010044680768104407
verification_status=Source Verified,0.0007605446462198406
annual_inc_joint__scaled,0.000625750912323986
num_tl_90g_dpd_24m__scaled,0.0003223221208632548
collections_12_mths_ex_med__scaled,0.00029021753129709465
sec_app_inq_last_6mths__scaled,0.00021945203721401488
sec_app_open_act_il__scaled,0.00016472636316309586
revol_bal_joint__scaled,8.779944907827086e-05
sec_app_open_acc__scaled,4.66831249334007e-05
sec_app_mths_since_last_major_derog__scaled,4.2950244987051086e-05
sec_app_revol_util__scaled,3.580186103700945e-05
sec_app_num_rev_accts__scaled,3.5467164186270785e-05
sec_app_mort_acc__scaled,1.2601230645343904e-05
acc_now_delinq__scaled,3.4521590936764442e-06
num_tl_120dpd_2m__scaled,0.0
sec_app_collections_12_mths_ex_med__scaled,0.0
sec_app_chargeoff_within_12_mths__scaled,0.0
