feature,mean_abs_shap
loan_amnt__scaled,0.1272867410083309
annual_inc__scaled,0.09638543094392459
acc_open_past_24mths__scaled,0.07289824736075584
application_type=Individual,0.06524280656488642
term= 36 months,0.05884393868455071
tot_cur_bal__scaled,0.05821525263854454
dti__scaled,0.057185250955018196
il_util__scaled,0.055508155802527555
home_ownership=MORTGAGE,0.05422744796806504
inq_last_6mths__scaled,0.04597883528758878
mo_sin_old_rev_tl_op__scaled,0.045796622852605676
bc_open_to_buy__scaled,0.04499629688056779
all_util__scaled,0.04205372525902381
mths_since_rcnt_il__scaled,0.0413991556122943
revol_util__scaled,0.03708821573987872
num_tl_op_past_12m__scaled,0.035997728995324565
revol_bal_joint__scaled,0.031611402896809464
verification_status=Not Verified,0.03104013126103385
sec_app_open_act_il__scaled,0.030303347084090073
inq_last_12m__scaled,0.030124568972640917
total_rev_hi_lim__scaled,0.029920845729800204
mths_since_recent_bc__scaled,0.028269809791547227
open_act_il__scaled,0.026152924855217967
total_bal_il__scaled,0.02294827712646347
dti_joint__scaled,0.021397576588783426
mo_sin_old_il_acct__scaled,0.02036482286468157
num_accts_ever_120_pd__scaled,0.018584093136641104
mo_sin_rcnt_tl__scaled,0.01826161393713745
mths_since_recent_inq__scaled,0.018214733712676602
mo_sin_rcnt_rev_tl_op__scaled,0.018149441244836806
revol_bal__scaled,0.017262819063750788
open_rv_24m__scaled,0.017179940751312642
num_il_tl__scaled,0.01616809779203455
total_bal_ex_mort__scaled,0.014383870652993408
max_bal_bc__scaled,0.014380632123734227
sec_app_revol_util__scaled,0.014292870721320574
pct_tl_nvr_dlq__scaled,0.014224965212668741
num_actv_rev_tl__scaled,0.013891458199333637
inq_fi__scaled,0.013100776145240647
sec_app_inq_last_6mths__scaled,0.01211498850422227
sec_app_mort_acc__scaled,0.01149328662668734
sec_app_open_acc__scaled,0.010524319096280488
delinq_2yrs__scaled,0.010440082458895642
open_acc_6m__scaled,0.01003991420598081
annual_inc_joint__scaled,0.00970818586527861
open_il_12m__scaled,0.009518738190027834
tot_coll_amt__scaled,0.009249717337840075
mths_since_last_record__scaled,0.00884016361226793
num_bc_tl__scaled,0.00866867409052617
home_ownership=OWN,0.0086385367438808
open_rv_12m__scaled,0.008415797250305
mort_acc__scaled,0.008343672398771927
total_acc__scaled,0.00802537307474949
verification_status=Verified,0.008020873517488704
mths_since_last_delinq__scaled,0.006980551719702894
num_actv_bc_tl__scaled,0.00693493104447538
mths_since_recent_bc_dlq__scaled,0.005508578480125342
pub_rec__scaled,0.00503127894549301
mths_since_last_major_derog__scaled,0.005002965871707292
open_acc__scaled,0.004457226000431688
mths_since_recent_revol_delinq__scaled,0.0036859341363462716
sec_app_chargeoff_within_12_mths__scaled,0.0034127181132906103
total_cu_tl__scaled,0.0029373376959206396
sec_app_num_rev_accts__scaled,0.002776183765280366
verification_status=Source Verified,0.002766512878595377
collections_12_mths_ex_med__scaled,0.0021071635056783265
sec_app_mths_since_last_major_derog__scaled,0.0020750086871773243
pub_rec_bankruptcies__scaled,0.001779508919854608
open_il_24m__scaled,0.0015010129664141275
sec_app_collections_12_mths_ex_med__scaled,0.0011334860722953465
num_tl_90g_dpd_24m__scaled,9.836015851120507e-05
delinq_amnt__scaled,1.7986913134809584e-05
tax_liens__scaled,0.0
num_tl_120dpd_2m__scaled,0.0
acc_now_delinq__scaled,0.0
