feature,importance
emp_title__target_encoded,5849.0
loan_amnt__scaled,1697.0
delinq_amnt__scaled,1626.0
mo_sin_old_rev_tl_op__scaled,1510.0
dti__scaled,1264.0
all_util__scaled,1197.0
max_bal_bc__scaled,1185.0
bc_open_to_buy__scaled,1076.0
revol_util__scaled,1044.0
annual_inc__scaled,1030.0
total_bal_il__scaled,999.0
tot_cur_bal__scaled,956.0
mths_since_rcnt_il__scaled,950.0
mo_sin_old_il_acct__scaled,835.0
mths_since_recent_bc__scaled,786.0
total_rev_hi_lim__scaled,746.0
revol_bal__scaled,738.0
total_acc__scaled,690.0
mths_since_recent_revol_delinq__scaled,671.0
num_actv_rev_tl__scaled,634.0
mths_since_recent_inq__scaled,627.0
pct_tl_nvr_dlq__scaled,615.0
mths_since_last_major_derog__scaled,597.0
total_bal_ex_mort__scaled,580.0
open_acc__scaled,506.0
num_il_tl__scaled,476.0
mo_sin_rcnt_tl__scaled,420.0
mo_sin_rcnt_rev_tl_op__scaled,418.0
delinq_2yrs__scaled,190.0
acc_now_delinq__scaled,73.0
